S.No,Formulation,Ingredients,Ayurvedic Properties,Symptoms,Dosage (Child),Dosage (Adult),Precaution,Preferred way of taking,Before or After meal
1,Punarnavadi Kashaya,"Punarnava , Guduchi ,Ginger",Tikta (Bitter) Ushna (Hot),"Fever,Cough,Inflammation,Hepatitis,Edema,Anemia,Uremia,Liver-Disorder,Jaundice ",5-10 ml,15 ml twice daily,"kidney disorders,pregnancy,diabetics",Lukewarm Water,after meal
2,Vyaghryadi Kashaya,"Vyaghri (Talispatra), Guduchi, Ginger,kantakari",Tikta (Bitter) Ushna (Hot),"Fever,Cough,Bronchial Fever,Asthma,Running-Nose,Cold,Body-ache",5-10 ml,10-15 ml,"pregnancy,digestive disorders",Add 3 times of lukewarm water,Before meal(empty stomach)
3,Jatyadi Ghrita,Abhaya (Vetiveria zizanioides) Patra (Cinnamomum tamala),Tikta (Bitter) Snigdha (Oily) Shita (Cold),"Inflammation,Non-healing-wounds,ulcers,skin-tuberculosis,ringworm-infection",2-5 grams ,5-10 grams,"lactose intolerance,pregnancy,lactation",warm water,after meal
4,Abhayarishta,"Harad, Vidanga, Munakka, Dhataki",Deepan Pachan,"Piles,hemorrhoids,bloating,constipation,digestion,difficulty-in-urination,anorexia",5-10 ml ,20-40 ml,"digestive disoreders,",water,after meal
5,Amritarishta,Guduchi (Tinospora cordifolia) Parpataka (Fumaria parvifolora) Bilva (Aegle marmelos),,"Chronic fever,malaria,indigestion,immunity,cough,cold",5-10ml,15-30mL,"avoid alcohol,diabetics",water,after meal
6,Aragvadharishta,Aragwadha (Cassia fistula) Indrayava(Hollorina antidysentrica),,"Dermatitis,Eczema,ulcers,acne,hives,rosacea,vitiligo,inflammation,itching,dry cracked-skin,redness,painful-lesions,pale-skin",5-10 ml,15-25mL,"liver disorders,preganat,diabetics",water,after meal
7,Aravindasava,Aravinda Mansi Ela haritaki,,"Immunity,Growth,Bone-strength,digestion,appetite",5-10 ml,20-40 ml,"kidney disorders,pregnant,diabetics",water,after meal
8,Arjunarishta/ Parthadyarishta,Arjuna Mrudvika Madhuka,,"angina pectoris, heart, high blood pressure, myocardial infarction, congestive heart failure, isochemic cardiomyopathy, cardiac arrhythmia, Mitral Regurgitation",5 -10 ml,15-20mL twice a day,"diabetic,liver issues",water,after meal
9,Ashokarishta,Ashoka Dhataki Cumin Nagarmotha,,"Menorrhagia, Metrorrhagia,Menometrorrhagia, dysmenorrhea, Menstrual cramps, hormonal problems, polyuria,inflammation, PCOS, menstrual disorder, heavy menstrual bleeding",5-10 ml,15-25mL twice a day,"hormonal disorders,pregnant",water,after meal
10,Ashvagandharishta,Ashwagandha Safed Musli Manjistha,Medhya Balya Rasayana,"Stress, Anxiety, Epilepsy, fatigue, male sexual dysfunction, arthritis, sleeplessness, insomnia",5-10 ml,15-20mL twice a day,thyroid disorders,water,after meal
11,Balarishta,Bala (Sida Cordifolia) Ashwagandha (Withania Somnifera),,"Arthritis, facial paralysis, muscle cramps, physical weakness, asthma, bronchitis, splitting pain, joint pain, fatigue",2-10mL twice a day,10-30mL twice a day,"neurological disorders,pregnant",water,after meal
12,Chandanasava,Safed chandan netrabala nagarmotha,Shita (Cold) ,"Urinary tract infection, Pyuria, Kidney Stone, kidney failure, gonorrhea, Burning sensation during urination,Frequent urination,Frequent urge to urinate but incomplete voiding,Pain or pressure in the back or lower abdomen, Pelvic pain, Blood in urine,",5 - 10 ml,20-40 ml,urinary tract disorders,water,after meal
